matrix_index,case_tag,partition_name,partition_basis,matrix_convention,geometry_file,simplified_geometry_file,region_id,population,population_rounded,target_population,population_ratio,area_m2,area_sqmi,population_density_per_sqmi,centroid_x,centroid_y,centroid_lon,centroid_lat
0,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000000,258.25078987466503,258,8432.079434167574,0.0306271770671666,16630655.53741802,6.421132000972976,40.21888817042432,-165643.40202189283,-47334.47500909571,-79.35333327624504,36.558489572596
1,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000001,6693.823072529941,6694,8432.079434167574,0.7938519940177442,16226486.611775316,6.265081506366548,1068.4335177008802,-170045.22948690652,-47288.71182672381,-79.40258152551885,36.558132159413
2,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000002,4712.120231514185,4712,8432.079434167574,0.5588325238517362,16346201.735255629,6.311303773952472,746.615976711767,-174462.34352938048,-47219.82877528189,-79.45200551484086,36.55796039501728
3,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000003,422.2137128114915,422,8432.079434167574,0.0500723120682001,16095686.877338735,6.214579446563806,67.93922524314077,-178861.80091981307,-47191.47838607369,-79.50122240497927,36.55740581162702
4,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000004,114.0276368783898,114,8432.079434167574,0.0135230743221344,77487581.34587179,29.918122417874457,3.811323293812866,8442.916107304423,-46036.471364935824,-77.40550912244737,36.58447420661736
5,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000005,479.0335681249406,479,8432.079434167574,0.0568108462289683,77319027.9439092,29.853043585547027,16.0463896001833,34880.59689576944,-46026.97233855896,-77.10962717371964,36.58396259460034
6,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000006,162.6724515334979,163,8432.079434167574,0.0192920919215174,77319884.27930658,29.85337421849239,5.449047412293249,17258.021767505496,-46026.95869032686,-77.30685278061436,36.58444190919339
7,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000007,608.1793653732517,608,8432.079434167574,0.0721268543686688,77256967.40842658,29.82908187883689,20.388806059925773,-367.7375578581342,-46023.40111905705,-77.50411562872362,36.58462928156859
8,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000008,2422.236683656336,2422,8432.079434167574,0.287264452685444,77146969.4007775,29.786611410648213,81.31964560394496,-53251.1595708655,-46017.20470398685,-78.09596684556523,36.58320638615572
9,20250623_18z,area_capped_30sqmi_population_balanced,TIGER/2020 Census block population allocation; maximum area 30 square miles; recursive population-aware subdivision,"T[h,j,i] is source region i to target region j; x_next = T[h] @ x_now",subregions.geojson,subregions_simplified.geojson,area_pop_000009,575.2194179779254,575,8432.079434167574,0.0682179790250887,77093212.93509208,29.765855923211458,19.32480690163418,-9184.631138829458,-46014.102980557065,-77.60279221517771,36.58466927973184
